variable,lambda,kappa
model,0.8135579284693529,0.3885656583773631
model,0.8906654523046033,0.45622677470903206
model,0.881236453812457,0.46664489687217936
model,0.6610747531188703,0.3045941074803296
model,0.9315225155890242,0.5049864451304351
model,0.7733373224151421,0.3055304693759029
model,0.8432490815673009,0.42591793082706747
model,0.6903283545414731,0.32938302063355024
model,0.7555118488468857,0.3293831538823103
model,0.4899414103259108,0.2209073873135678
model,0.6651540836540748,0.34079823011048294
model,0.6399043745103418,0.2910994135005664
model,0.6803429270135012,0.304594434737981
model,0.7768818963413529,0.318824854535525
model,0.742204906190303,0.38823956279960314
model,0.5613113213388803,0.18794813433872848
model,0.6633336324621724,0.28262274273275984
model,0.8117672598840802,0.3103522040792295
model,0.9333438339637034,0.4923377815075589
model,0.4545241502720192,0.17627495798643408
model,0.36557844307803317,0.21154782653696808
model,0.6916971210016069,0.3201251738043509
model,0.45419213531885144,0.23519428383413218
model,0.6601826390033552,0.3490378132869316
model,0.618271568146902,0.25068107590568445
model,0.8344051747712864,0.40003004267015935
model,0.7911476759883208,0.3595497311304839
model,0.5301955521277824,0.21187392308492192
model,0.7925540061758213,0.29195748695744556
model,0.7543866467595435,0.434646170165687
model,0.686308463561246,0.2690839795124325
model,0.5067331076769402,0.3202510103070773
model,0.8006116695590467,0.3519526980077874
model,0.8012206453801375,0.4461997495789367
model,0.7496357772025267,0.3083118712009116
model,0.363343840328054,0.18539921469917686
model,0.9999338930386481,0.5331249595797943
model,0.7772949952944899,0.28849064371839733
model,0.5546828828892112,0.14920452918873706
model,0.8462282115577384,0.38671734092890225
model,0.7406531405455871,0.30946903371720974
model,0.598797044684321,0.26872859199098004
model,0.8490301468609929,0.3860113500443535
model,0.9066724903712984,0.49941204914161064
model,0.6853424784367095,0.2567647508683518
model,0.9006209107928649,0.4143563051550808
model,0.31482698052584157,0.2111673523463094
model,0.8930732855367574,0.4417943086524706
model,0.9087415036424222,0.4357359060515555
model,0.6723996985179728,0.2931152205710539
model,0.5266665487479835,0.19593683679012408
model,0.6543369504857474,0.3458741450236786
model,0.6842896027883291,0.25895489064321087
model,0.9079841643936679,0.41229195683149283
